"created","text","url","latitude","longitude","retweets","favorites","source.r","hashtag","z"
2018-02-18 23:58:30,"Dear studio execs,

Please just green light anything Ryan Coogler wants to do for the rest of his career.

Thanks,<e2><80><a6> https://t.co/S4u0Ji3AEZ","https://twitter.com/Sam_Nylen/status/965375001485553664",NA,NA,0,1,"IPHONE","#blackpanther",1
2018-02-18 23:58:30,"At the most climactic moment of #BlackPanther, our theater had a power surge and the projector went out. https://t.co/lPVOBvubRi","https://twitter.com/brookshanrahan/status/965374999942057984",NA,NA,0,5,"IPHONE","#blackpanther",1
2018-02-18 23:58:29,"Just saw #BlackPanther today. Another great comic book film from Marvel thanks to a great cast featuring an Oscar w<e2><80><a6> https://t.co/A2bXDEwqlD","https://twitter.com/dalt92car1/status/965374997115088897",NA,NA,0,1,"ANDROID","#blackpanther",1
2018-02-18 23:58:29,"#AddBlackPantherToAnything If you don't let me see #BlackPantherMovie now, I will #BlackPanther that a...!! <ed><a0><be><ed><b4><a3>","https://twitter.com/familiarRed/status/965374994128822272",NA,NA,0,0,"WEB","#blackpanther",1
2018-02-18 23:58:28,"Thank you #BlacKPanther for bringing us beautiful, fine, strong men to the big screen in one sitting. Ma Heart.","https://twitter.com/MarleneVictoria/status/965374993147285504",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:28,"Why is 6 afraid of 7 ? #blackpanther https://t.co/lzbnjVEiMW","https://twitter.com/Basketball_Gang/status/965374992371286016",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:28,"#MyKenyanSista well done #LupitaNyongo #BAFTAs #BAFTA2018 #TheDressOfTheNight #BlackPanther https://t.co/JQdaXOVpvE","https://twitter.com/leahjoan01/status/965374990467129344",NA,NA,0,0,"WEB","#blackpanther",1
2018-02-18 23:58:26,"Hey @michaelb4jordan I hate you in #BlackPanther but love you in real life","https://twitter.com/Treyoholic/status/965374982875484160",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:25,"Jk they all came! #BlackPanther","https://twitter.com/leesh222/status/965374981134790657",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:25,".@theblackpanther had some baddies HBICs and I looooved it #BlackPanther","https://twitter.com/smartassrosa/status/965374979356405760",NA,NA,0,0,"IPHONE","#blackpanther",1
2018-02-18 23:58:24,"Just came back from seeing @theblackpanther for a second time because what happens in that movie ""determines what h<e2><80><a6> https://t.co/A73ZVnFirr","https://twitter.com/D__H__/status/965374976902676480",NA,NA,0,0,"WEB","#blackpanther",1
2018-02-18 23:58:24,"I just... #ChadwickBoseman #BlackPanther https://t.co/1TS7ZeLIgP","https://twitter.com/Damey07/status/965374974662991872",NA,NA,1,1,NA,"#blackpanther",1
2018-02-18 23:58:24,"went to go see #blackpanther and got assaulted bc i<e2><80><99>m white. literally been in the ER for 72 hours https://t.co/D8dUQKHUWE","https://twitter.com/Ph0enixCOD/status/965374973798965248",NA,NA,0,3,"IPHONE","#blackpanther",1
2018-02-18 23:58:23,"Just saw #BlackPanther - what a beautiful work of art! Visually, emotionally and culturally! 
<ed><a0><bd><ed><b6><a4>","https://twitter.com/Lola_Cage/status/965374971588567046",NA,NA,0,6,"ANDROID","#blackpanther",1
2018-02-18 23:58:23,"Took a friend to see #BlackPanther middle of the day and couldn't find a seat in 4 theaters.  This film is fire!","https://twitter.com/jasonfaria/status/965374969688489986",NA,NA,0,3,"WEB","#blackpanther",1
2018-02-18 23:58:22,"For the next 24 hours I don<e2><80><99>t want to talk about anything other than how good #BlackPanther was. https://t.co/LvuVsms8U2","https://twitter.com/solbrig_olivia/status/965374966341472256",NA,NA,1,7,"IPHONE","#blackpanther",1
